,commonsensicality,size,log_size,model_family
LLaMA-2-7B,74.98768090446158,7.0,0.8450980400142568,LLaMA-2/3
LLaMA-2-13B,46.496738615176284,13.0,1.1139433523068367,LLaMA-2/3
LLaMA-2-70B,63.54487917444178,70.0,1.845098040014257,LLaMA-2/3
LLaMA-3-8B,61.68438804817647,8.0,0.9030899869919435,LLaMA-2/3
LLaMA-3-70B,74.35300877159524,70.0,1.845098040014257,LLaMA-2/3
Flan-T5-Small,34.172153371972364,0.08,-1.0969100130080565,Flan-T5
Flan-T5-Base,58.130977011010465,0.25,-0.6020599913279624,Flan-T5
Flan-T5-Large,76.89952871649803,0.78,-0.10790539730951958,Flan-T5
Flan-T5-XL,72.99690794610058,3.0,0.47712125471966244,Flan-T5
Flan-T5-XXL,80.40455107032294,11.0,1.0413926851582251,Flan-T5
Gemma-2B,65.88042055586672,2.0,0.3010299956639812,Gemma
Gemma-7B,72.04670804790796,7.0,0.8450980400142568,Gemma
Mistral-7B,80.43974789302533,7.0,0.8450980400142568,Mistral
Mixtral-8x7B,76.38864047193233,47.0,1.6720978579357175,Mistral
Mixtral-8x22B,82.34163076893198,141.0,2.1492191126553797,Mistral
Falcon-7B,66.33729441101212,7.0,0.8450980400142568,Falcon
Falcon-40B,75.05478974273944,40.0,1.6020599913279623,Falcon
Falcon-180B,79.91786722950114,180.0,2.255272505103306,Falcon
Qwen2-0.5B,66.77936692664422,0.5,-0.3010299956639812,Qwen2
Qwen2-1.5B,74.59263376857646,1.5,0.17609125905568124,Qwen2
Qwen2-7B,80.3690569453512,7.0,0.8450980400142568,Qwen2
Qwen2-57B,80.91532029671507,57.0,1.7558748556724915,Qwen2
Qwen2-72B,81.14132219235464,72.0,1.8573324964312685,Qwen2
