statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
1 plus 1 is 2,0,1,0,0,0,1,Mathematics and logic,category response
5 is alot bigger than 1,0,0,0,0,0,0,Mathematics and logic,category response
a balanced diet and regular exercise is needed to remain healthy,1,1,0,1,0,1,Health and fitness,category response
a ball is round,0,1,0,0,0,0,Natural and physical sciences,Concept Net
a baton twirler doesn't want a broken finger,0,1,0,1,1,0,Human activities,Concept Net
a battery can't provide power forever,0,1,0,0,1,1,General reference,category response
a bill is not wanted,1,0,0,1,1,1,General reference,Concept Net
a birthday would make you want to bake a cake,1,1,0,1,1,0,Human activities,Concept Net
a birthday would make you want to buy something for a loved one,1,1,0,1,1,0,Human activities,Concept Net
a building where christians worship is called a church,1,1,0,0,0,0,Religion and belief systems,category response
a cat doesn't want a bath,0,1,0,1,1,0,General reference,Concept Net
a cat doesn't want its tail pulled,0,1,0,1,0,1,General reference,Concept Net
a cat doesn't want to be wet,0,1,0,1,0,1,Natural and physical sciences,Concept Net
a cat doesn't want to get wet,0,1,0,0,0,0,Natural and physical sciences,Concept Net
a cat is a feline,0,0,0,0,0,1,Natural and physical sciences,Concept Net
a celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized,1,0,0,1,1,0,Human activities,aphorism
a child does not laugh at the ugliness of its mother,1,1,0,1,1,0,People and self,aphorism
a circle is round,0,1,0,0,0,0,General reference,Concept Net
a computer can be turned on by pressing its power button,0,1,0,0,0,0,Technology and applied sciences,category response
a computer virus is not living,0,1,0,0,0,0,Technology and applied sciences,Concept Net
a couch potato needs to establish a program to promote good health and fitness,1,0,0,0,0,1,Health and fitness,category response
a crime would make you want to conduct a trial,1,1,1,0,1,0,Society and social sciences,Concept Net
a deaf husband and a blind wife are a happy couple,1,0,0,1,1,1,Society and social sciences,aphorism
a democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote,1,1,1,1,0,0,History and events,aphorism
a desire to share knowledge would make you want to teach other people,1,0,1,1,1,1,General reference,Concept Net
a different language is a different vision of life,1,0,1,1,1,0,Philosophy and thinking,aphorism
